unnamed: 0.1,unnamed: 0,timestamp,turn,speaker,sentence,teacher_tag,student_tag,damsltag,dialogact,lesson_id,turn_num,_row,role
0,0,,1.0,T,Watch what I am doing.,1 - None,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,1.0,529,teacher
1,1,,1.0,T,Alright.,1 - None,,b,Acknowledge (Backchannel),Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,1.0,530,teacher
2,2,,1.0,T,"So, What does this look like?",8 - Press for Accuracy,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,1.0,531,teacher
3,3,,2.0,Ariel,An H,,4 - Making a Claim,%,Uninterpretable,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,2.0,532,student
4,4,,3.0,T,"Maybe, its possible.",1 - None,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,3.0,533,teacher
5,5,,3.0,T,How many rods do I have here?,8 - Press for Accuracy,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,3.0,534,teacher
6,6,,4.0,James and Ariel,Five.,,4 - Making a Claim,%,Uninterpretable,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,4.0,535,student
7,7,,5.0,T,Five right?,2 - Keeping Everyone Together,,aa,Agree/Accept,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,5.0,536,teacher
8,8,,5.0,T,If I do like this?,2 - Keeping Everyone Together,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,5.0,537,teacher
9,9,,5.0,T,What does this now look like for you?,8 - Press for Accuracy,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,5.0,538,teacher
10,10,,6.0,Ariel,A chain or a necklace or something?,,4 - Making a Claim,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,6.0,539,student
11,11,,7.0,T,suppose it stands up?,8 - Press for Accuracy,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,7.0,540,teacher
12,12,,8.0,Ariel,A building?,,4 - Making a Claim,aa,Agree/Accept,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,8.0,541,student
13,13,,9.0,James,Like a tower.,,4 - Making a Claim,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,9.0,542,student
14,14,,10.0,T,If its stand what would you call it?,8 - Press for Accuracy,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,10.0,543,teacher
15,15,,11.0,Ariel,A building,,4 - Making a Claim,aa,Agree/Accept,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,11.0,544,student
16,16,,12.0,T,"Hm, Very good.",1 - None,,ba,Appreciation,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,12.0,545,teacher
17,17,,12.0,T,Well you can call it so many different names.,1 - None,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,12.0,546,teacher
18,18,,12.0,T,I am going to call it a ladder.,1 - None,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,12.0,547,teacher
19,19,,12.0,T,Does it look like one?,2 - Keeping Everyone Together,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,12.0,548,teacher
20,20,,13.0,T,"In this particular case, what would you call this if we called this a ladder?",8 - Press for Accuracy,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,13.0,549,teacher
21,21,,14.0,James,A step?,7 - Context,4 - Making a Claim,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,14.0,550,student
22,22,,15.0,T,Step.,4 - Restating,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,15.0,551,teacher
23,23,,15.0,T,Ok so how many steps do we have?,8 - Press for Accuracy,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,15.0,552,teacher
24,24,,16.0,James and Ariel,Two.,,4 - Making a Claim,%,Uninterpretable,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,16.0,553,student
25,25,,17.0,T,Ok so going back to the previous one that you called eight.,1 - None,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,17.0,554,teacher
26,26,,17.0,T,Could that also be a ladder.,2 - Keeping Everyone Together,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,17.0,555,teacher
27,27,,18.0,James,Yes,,1 - None,b,Acknowledge (Backchannel),Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,18.0,556,student
28,28,,19.0,T,How many steps?,8 - Press for Accuracy,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,19.0,557,teacher
29,29,,20.0,James,One.,,4 - Making a Claim,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,20.0,558,student
30,30,,21.0,T,So this one is a ladder with one step and how many blocks?,8 - Press for Accuracy,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,21.0,559,teacher
31,31,,21.0,T,Rather rods we call it.,1 - None,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,21.0,560,teacher
32,32,,22.0,James and Ariel,Five.,,4 - Making a Claim,%,Uninterpretable,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,22.0,561,student
33,33,,23.0,T,And now this is a ladder with  two right?,2 - Keeping Everyone Together,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,23.0,562,teacher
34,34,,23.0,T,And how many?,8 - Press for Accuracy,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,23.0,563,teacher
35,35,,24.0,James,eight,7 - Context,4 - Making a Claim,aa,Agree/Accept,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,24.0,564,student
36,36,,25.0,T,eight.,4 - Restating,,aa,Agree/Accept,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,25.0,565,teacher
37,37,,25.0,T,so my question.. so you can build it as high as you want.,1 - None,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,25.0,566,teacher
38,38,,25.0,T,So my question to you is that how many would that be if we had …rods.. how many would we need to build a ladder with 10 steps?,8 - Press for Accuracy,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,25.0,567,teacher
39,39,,26.0,Ariel,"Wow, three steps.",,4 - Making a Claim,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,26.0,568,student
40,40,,26.0,Ariel,"Ah, I got an idea.",,1 - None,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,26.0,569,student
41,41,,27.0,James,I got it.,,1 - None,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,27.0,570,student
42,42,,27.0,James,Thirty-four.,7 - Context,4 - Making a Claim,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,27.0,571,student
43,43,,28.0,T,Thirty four.,4 - Restating,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,28.0,572,teacher
44,44,,28.0,T,For ten?,2 - Keeping Everyone Together,,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,28.0,573,teacher
45,45,,29.0,Ariel,For ten.,,1 - None,sd,Statement-non-opinion,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,29.0,574,student
46,46,,30.0,T,What do you think?,3 - Getting Students to Relate,,qy,Yes-No-Question,Ladder problem 1_ Grade 7.xlsx_with_dialog_acts,30.0,575,teacher
